dataset	sample_id	module_color	projected_module_score	sample_index	dataset_short
GSE184114	Deaccl_Deacclimation_ABA_48_1	blue	0.665517080935372	52	184114
GSE184114	Deaccl_Deacclimation_ABA_48_2	blue	0.643264000335757	49	184114
GSE184114	Deaccl_Deacclimation_ABA_48_3	blue	0.594698857769188	43	184114
GSE184114	Deaccl_Deacclimation_ABA_6_1	blue	-0.438618769455231	23	184114
GSE184114	Deaccl_Deacclimation_ABA_6_2	blue	-0.409339471833096	25	184114
GSE184114	Deaccl_Deacclimation_ABA_6_3	blue	-0.41365873091043	24	184114
GSE184114	Deaccl_Deacclimation_ABA_72_1	blue	-0.734924946798191	21	184114
GSE184114	Deaccl_Deacclimation_ABA_72_2	blue	-0.728616366956906	22	184114
GSE184114	Deaccl_Deacclimation_ABA_72_3	blue	-0.755202180693244	20	184114
GSE184114	Deaccl_Deacclimation_Control_0_1	blue	-1.76077548075379	5	184114
GSE184114	Deaccl_Deacclimation_Control_0_2	blue	-1.83071621014835	3	184114
GSE184114	Deaccl_Deacclimation_Control_0_3	blue	-1.72325085397271	7	184114
GSE184114	Deaccl_Deacclimation_Control_12_1	blue	-1.8501322342232	2	184114
GSE184114	Deaccl_Deacclimation_Control_12_2	blue	-1.86267872184043	1	184114
GSE184114	Deaccl_Deacclimation_Control_12_3	blue	-1.74348959562001	6	184114
GSE184114	Deaccl_Deacclimation_Control_24_1	blue	-1.69048267884773	10	184114
GSE184114	Deaccl_Deacclimation_Control_24_2	blue	-1.80654476616865	4	184114
GSE184114	Deaccl_Deacclimation_Control_24_3	blue	-1.61761634403849	12	184114
GSE184114	Deaccl_Deacclimation_Control_48_1	blue	-1.3650811285002	14	184114
GSE184114	Deaccl_Deacclimation_Control_48_2	blue	-1.34889120621239	15	184114
GSE184114	Deaccl_Deacclimation_Control_48_3	blue	-1.26524635143893	16	184114
GSE184114	Deaccl_Deacclimation_Control_48_4	blue	-1.38885010759655	13	184114
GSE184114	Deaccl_Deacclimation_Control_6_1	blue	-1.70199361838472	9	184114
GSE184114	Deaccl_Deacclimation_Control_6_2	blue	-1.72211082237106	8	184114
