gene_id	k	estimate	se_hk	ci_low	ci_high	p_value	tau2	i2	q	q_hk	padj	heterogeneity_high	all_varieties_same_sign	all_loo_same_sign	robust_meta_gene	module_color	class	neglog10_fdr
Vitvi05g00512	4	0.0977587813733291	0.298728434445738	-0.852928421111695	1.04844598385835	0.764984169807962	0.286998209384496	0.804771537217551	15.3666118005704	1.00311657740095	0.815197147262593	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.0887373487885314
Vitvi05g00513	4	-0.44835863609536	0.201111205108676	-1.08838424774462	0.1916669755539	0.112058346531652	0	0	2.52337488112654	0.841124960375514	0.181908785313056	FALSE	TRUE	TRUE	FALSE	NA	Not robust	0.740146326110527
Vitvi05g00514	4	1.04218736368996	0.498090089160547	-0.542957600257458	2.62733232763737	0.127488879932686	0.882602396603568	0.890671675987393	27.4402816204706	1.01103163553479	0.200315501675623	TRUE	TRUE	TRUE	FALSE	NA	Not robust	0.698285440962624
Vitvi05g00516	4	0.509568936423431	0.222969469576217	-0.200019428220469	1.21915730106733	0.106407740490457	0.127442915209867	0.661383402583925	8.85957753663725	0.944226545519513	0.175350182772219	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.756093777105405
Vitvi05g00517	4	0.192345864979164	0.211726979950203	-0.481463880092238	0.866155610050566	0.430609852399975	0.0882327661732323	0.493417880906186	5.92204084377568	0.957662980372913	0.516873686237325	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.28661557696912
Vitvi05g00518	4	-0.133780088010927	0.4365449828523	-1.52306105577937	1.25550087975752	0.779298281232598	0.59213776726363	0.785333449776332	13.9751628601391	1.03547509912269	0.826583343398329	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.0827133504976664
Vitvi05g00519	4	5.55250268950112	0.800272362521451	3.00567886617407	8.09932651282818	0.0061398466082625	1.4780421639803	0.610168335135048	7.69562934565432	0.92220398254912	0.0371845521388013	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.42963744490982
Vitvi05g00520	4	7.94314097229957	0.794171100422052	5.41573408799832	10.4705478566008	0.00212727658001741	1.08398591539109	0.419129439660056	5.16466181079018	0.920706718327394	0.0299118315013372	FALSE	TRUE	TRUE	TRUE	NA	Other robust	1.52415699430495
Vitvi05g00521	4	-0.722298241620269	0.141815489224037	-1.17361842133331	-0.270978061907231	0.0146312370062728	0.0248658005373916	0.247890023507043	3.98877836189439	0.851151833120457	0.0516881253628277	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.28660921864181
Vitvi05g00522	4	1.85740917150008	0.676434659171759	-0.295307810346923	4.01012615334709	0.0709870237094869	1.73743184825867	0.95354559347615	64.5794494965684	1.0055232169862	0.131945467595403	TRUE	TRUE	TRUE	FALSE	NA	Not robust	0.879605523459192
Vitvi05g00524	4	-1.13049593523163	0.251227018149185	-1.93001243092794	-0.330979439535311	0.0204916618091467	0	0	2.42465934025172	0.808219780083907	0.0613518556762666	FALSE	TRUE	TRUE	FALSE	brown	Not robust	1.21217229686893
Vitvi05g00526	4	-0.475006280188406	0.116666783884307	-0.846292055510353	-0.103720504866459	0.0267369854276777	0	0	1.82229991592329	0.607433305307763	0.0710660670472477	FALSE	TRUE	TRUE	FALSE	NA	Not robust	1.14833771870617
Vitvi05g00527	4	-1.65963757337747	0.986566214008199	-4.79933157606559	1.48005642931066	0.191113220816491	2.98271317817284	0.785327083386885	13.9747484094913	0.969840797322824	0.271569120347201	TRUE	TRUE	TRUE	FALSE	NA	Not robust	0.56611961445504
Vitvi05g00529	4	2.17153870515098	1.71176455097508	-3.27606006561527	7.61913747591724	0.294078936608102	9.81239706769944	0.843039474251276	19.1130858264495	1.00609746499206	0.381066012112545	TRUE	FALSE	TRUE	FALSE	NA	Not robust	0.418999784920358
Vitvi05g00530	4	3.22427586620202	0.560473707819946	1.44059838554178	5.00795334686227	0.0104353047898674	1.07287954553428	0.860868689734155	21.5623643180514	0.993575807230314	0.0449167928793717	TRUE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.34759126052535
Vitvi05g00533	4	4.14139267321815	0.246724865975152	3.35620403507392	4.92658131136239	0.000460414377423609	0	0	2.4311812143215	0.810393738107167	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52869151439248
Vitvi05g00534	4	0.00489976803737659	0.35709207543448	-1.13152658807518	1.14132612414993	0.989913821972087	0.400118667894494	0.786287055778299	14.0375212691276	1.00841422648098	0.991850826118947	TRUE	FALSE	FALSE	FALSE	NA	Not robust	0.00355364061294531
Vitvi05g00537	4	-0.195341615709927	0.153328061300967	-0.683299937893504	0.29261670647365	0.292397968766631	0	0	1.99619628377845	0.665398761259484	0.379124823176335	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.421217779236005
Vitvi05g00538	4	0.144252647047761	0.217438427429824	-0.547733472952981	0.836238767048503	0.554487969670015	0	0	1.1003144246468	0.366771474882267	0.632432067507561	FALSE	FALSE	TRUE	FALSE	NA	Not robust	0.19898611725264
Vitvi05g00539	4	0.227499358595556	0.991111398463926	-2.92665944957054	3.38165816676165	0.833209150502698	3.65706775284704	0.930971160867569	43.4600963554453	1.00107631886651	0.870376283920056	TRUE	FALSE	FALSE	FALSE	green	Not robust	0.0602929511741297
Vitvi05g00540	4	-0.276333400028883	1.09713981180034	-3.76792194047255	3.21525514041478	0.817412573818751	4.60645741172052	0.956925580964283	69.6469056846112	1.00296983471756	0.857988843411083	TRUE	FALSE	FALSE	FALSE	brown	Not robust	0.0665183593267086
Vitvi05g00541	4	6.10637648057121	0.616365536180904	4.14482625724808	8.06792670389434	0.00218741334567808	1.11875643131478	0.779796059346696	13.6237343941237	1.00793591379519	0.0299118315013372	TRUE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52415699430495
Vitvi05g00542	4	3.05412057736784	0.154267086128998	2.56317385908972	3.54506729564595	0.000281616040824577	0	0	0.281392280020959	0.0937974266736531	0.0296011433169148	FALSE	TRUE	TRUE	TRUE	turquoise	Turquoise module	1.52869151439248
