gene_id	Vamu	Vvcs	Vvri	Vrip
Vitvi01g00241	TRUE	TRUE	TRUE	TRUE
Vitvi01g00243	TRUE	TRUE	TRUE	TRUE
Vitvi01g00244	TRUE	TRUE	TRUE	TRUE
Vitvi01g00245	TRUE	TRUE	TRUE	TRUE
Vitvi01g00246	TRUE	TRUE	TRUE	TRUE
Vitvi01g00247	TRUE	TRUE	TRUE	TRUE
Vitvi01g00249	TRUE	TRUE	TRUE	TRUE
Vitvi01g00250	TRUE	TRUE	TRUE	TRUE
Vitvi01g00251	TRUE	TRUE	TRUE	TRUE
Vitvi01g00252	TRUE	TRUE	TRUE	TRUE
Vitvi01g00253	TRUE	TRUE	TRUE	TRUE
Vitvi01g00254	TRUE	TRUE	TRUE	TRUE
Vitvi01g00255	TRUE	TRUE	TRUE	TRUE
Vitvi01g00258	TRUE	TRUE	TRUE	TRUE
Vitvi01g00259	FALSE	FALSE	FALSE	TRUE
Vitvi01g00260	TRUE	TRUE	TRUE	TRUE
Vitvi01g00264	FALSE	TRUE	TRUE	TRUE
Vitvi01g00265	FALSE	TRUE	FALSE	TRUE
Vitvi01g00266	TRUE	FALSE	FALSE	TRUE
Vitvi01g00267	TRUE	TRUE	TRUE	TRUE
Vitvi01g00268	TRUE	FALSE	FALSE	TRUE
Vitvi01g00269	TRUE	TRUE	FALSE	TRUE
Vitvi01g00270	TRUE	TRUE	TRUE	TRUE
Vitvi01g00271	TRUE	TRUE	TRUE	TRUE
Vitvi01g00272	TRUE	TRUE	FALSE	FALSE
Vitvi01g00273	TRUE	TRUE	TRUE	TRUE
Vitvi01g00274	TRUE	TRUE	TRUE	TRUE
Vitvi01g00275	TRUE	TRUE	TRUE	TRUE
Vitvi01g00277	TRUE	TRUE	TRUE	TRUE
Vitvi01g00278	TRUE	TRUE	TRUE	TRUE
Vitvi01g00279	TRUE	TRUE	TRUE	FALSE
Vitvi01g00280	TRUE	TRUE	TRUE	TRUE
Vitvi01g00281	TRUE	TRUE	FALSE	FALSE
Vitvi01g00282	TRUE	TRUE	TRUE	TRUE
Vitvi01g00284	TRUE	TRUE	TRUE	TRUE
Vitvi01g00286	TRUE	TRUE	TRUE	TRUE
Vitvi01g00287	TRUE	TRUE	FALSE	FALSE
Vitvi01g00288	TRUE	TRUE	TRUE	TRUE
Vitvi01g00290	FALSE	TRUE	FALSE	FALSE
Vitvi01g00291	TRUE	TRUE	TRUE	TRUE
Vitvi01g00292	TRUE	TRUE	TRUE	TRUE
Vitvi01g00293	TRUE	TRUE	TRUE	TRUE
Vitvi01g00294	FALSE	TRUE	TRUE	FALSE
Vitvi01g00295	TRUE	TRUE	TRUE	TRUE
Vitvi01g00296	TRUE	TRUE	TRUE	TRUE
Vitvi01g00298	TRUE	FALSE	TRUE	FALSE
Vitvi01g00299	TRUE	TRUE	TRUE	TRUE
Vitvi01g00300	TRUE	TRUE	TRUE	TRUE
Vitvi01g00301	TRUE	TRUE	FALSE	FALSE
Vitvi01g00302	TRUE	TRUE	TRUE	TRUE
Vitvi01g00303	TRUE	TRUE	TRUE	TRUE
Vitvi01g00304	TRUE	TRUE	TRUE	TRUE
Vitvi01g00305	TRUE	TRUE	TRUE	TRUE
Vitvi01g00306	FALSE	TRUE	TRUE	TRUE
Vitvi01g00308	TRUE	TRUE	TRUE	TRUE
Vitvi01g00309	TRUE	TRUE	TRUE	TRUE
Vitvi01g00310	TRUE	TRUE	TRUE	TRUE
Vitvi01g00311	TRUE	TRUE	TRUE	TRUE
Vitvi01g00312	TRUE	TRUE	FALSE	TRUE
Vitvi01g00313	TRUE	TRUE	TRUE	TRUE
Vitvi01g00314	TRUE	TRUE	TRUE	FALSE
