gene_id	i2	group	robust_meta_gene
Vitvi01g00389	0.860894468150385	All genes	FALSE
Vitvi01g00390	0.795473611950896	All genes	TRUE
Vitvi01g00391	0.30348681496863	All genes	FALSE
Vitvi01g00392	0	All genes	TRUE
Vitvi01g00393	0	Turquoise	TRUE
Vitvi01g00394	0.918138753644871	Turquoise	TRUE
Vitvi01g00397	0.646112730801482	All genes	FALSE
Vitvi01g00398	0.872304275723532	All genes	FALSE
Vitvi01g00399	0.720721110914642	Turquoise	FALSE
Vitvi01g00401	0.931854394573109	Turquoise	FALSE
Vitvi01g00402	0	Turquoise	TRUE
Vitvi01g00403	0.770719819281002	All genes	FALSE
Vitvi01g00404	0.492061765174436	All genes	FALSE
Vitvi01g00405	0.21827111982528	All genes	FALSE
Vitvi01g00407	0.765131960795832	All genes	FALSE
Vitvi01g00408	0.171595112610862	Blue	TRUE
Vitvi01g00409	0.883415973772279	All genes	FALSE
Vitvi01g00411	0.27549589713774	All genes	FALSE
Vitvi01g00412	0.946644234314847	All genes	FALSE
Vitvi01g00413	0.678804620909984	All genes	FALSE
Vitvi01g00414	0.465736695593331	All genes	TRUE
Vitvi01g00415	0.947151165248797	All genes	FALSE
Vitvi01g00417	0.861061088192595	All genes	FALSE
Vitvi01g00418	0.717417913120365	All genes	FALSE
Vitvi01g00421	0.91405175341653	All genes	FALSE
Vitvi01g00422	0.398807568608955	All genes	FALSE
Vitvi01g00423	0.844001202557701	Turquoise	FALSE
Vitvi01g00424	0	Turquoise	FALSE
Vitvi01g00425	0	All genes	TRUE
Vitvi01g00426	0	All genes	FALSE
Vitvi01g00427	0.64495380978984	All genes	FALSE
Vitvi01g00428	0.934589089090776	All genes	FALSE
Vitvi01g00429	0.789845814799373	All genes	FALSE
Vitvi01g00430	0	All genes	TRUE
Vitvi01g00432	0.901552236501467	All genes	FALSE
Vitvi01g00441	0.811091440136144	Turquoise	TRUE
Vitvi01g00443	0	All genes	TRUE
Vitvi01g00444	0.836654229966956	All genes	FALSE
Vitvi01g00445	0.573406168538558	All genes	FALSE
Vitvi01g00446	0.195300510334879	All genes	FALSE
Vitvi01g00447	0.747551121918519	All genes	TRUE
Vitvi01g00448	0.524334622768904	All genes	FALSE
Vitvi01g00449	0	All genes	FALSE
Vitvi01g00450	0.875988873847694	All genes	FALSE
Vitvi01g00451	0.500903598394308	All genes	FALSE
Vitvi01g00452	0.685541161794032	All genes	FALSE
Vitvi01g00453	0.312566410540702	All genes	TRUE
Vitvi01g00454	0.821370567446981	Turquoise	FALSE
Vitvi01g00455	0.837024150049046	All genes	FALSE
Vitvi01g00457	0.863017611526586	All genes	FALSE
Vitvi01g00458	0.822908473961142	All genes	FALSE
Vitvi01g00465	0.932175743893579	All genes	FALSE
Vitvi01g00466	0.788316772355282	All genes	TRUE
Vitvi01g00467	0.902400507506443	All genes	FALSE
Vitvi01g00468	0.85834768885222	Turquoise	FALSE
Vitvi01g00471	0	All genes	FALSE
Vitvi01g00472	0.64003244214591	All genes	TRUE
Vitvi01g00473	0.884057153753072	All genes	FALSE
Vitvi01g00474	0.806962510885309	All genes	FALSE
Vitvi01g00475	0.869278016996395	All genes	FALSE
Vitvi01g00476	0.829491373988533	All genes	FALSE
Vitvi01g00477	0.784948598350942	Turquoise	FALSE
Vitvi01g00478	0.225591429399262	All genes	TRUE
Vitvi01g00479	0.156747025045766	All genes	FALSE
Vitvi01g00481	0.736707172911314	All genes	FALSE
Vitvi01g00482	0.822232954825147	All genes	FALSE
Vitvi01g00483	0.530621397876804	All genes	FALSE
Vitvi01g00484	0.831899593060619	All genes	FALSE
Vitvi01g00486	0.392214460250103	All genes	FALSE
Vitvi01g00487	0.890478596086329	All genes	FALSE
Vitvi01g00488	0.752547249200896	All genes	FALSE
Vitvi01g00491	0	All genes	TRUE
Vitvi01g00492	0.488516564996709	All genes	TRUE
Vitvi01g00496	0	All genes	FALSE
Vitvi01g00497	0.715291284689425	Turquoise	TRUE
Vitvi01g00499	0.897523662521057	Blue	FALSE
Vitvi01g00500	0.125738370609934	All genes	TRUE
Vitvi01g00501	0.787545143892395	All genes	FALSE
Vitvi01g00502	0.689082790265737	All genes	FALSE
Vitvi01g00503	0.775657446208315	All genes	FALSE
Vitvi01g00505	0.848861135424857	All genes	FALSE
Vitvi01g00508	0.687887978061104	All genes	FALSE
Vitvi01g00509	0.837238954693174	All genes	FALSE
Vitvi01g00510	0.175016129412127	All genes	TRUE
Vitvi01g00511	0.850141026473221	Blue	TRUE
Vitvi01g00512	0.742562201352279	All genes	FALSE
Vitvi01g00513	0	All genes	TRUE
Vitvi01g00515	0.56219048726468	All genes	FALSE
Vitvi01g00516	0.149391304002392	All genes	TRUE
Vitvi01g00518	0.920273015620938	All genes	FALSE
Vitvi01g00519	0.499807930875844	All genes	FALSE
Vitvi01g00520	0.255439082578924	All genes	TRUE
Vitvi01g00521	0	All genes	FALSE
Vitvi01g00522	0	All genes	TRUE
Vitvi01g00523	0	All genes	FALSE
Vitvi01g00524	0.526208746641066	All genes	FALSE
Vitvi01g00525	0.53484584533682	All genes	FALSE
Vitvi01g00526	0.943015473846672	All genes	FALSE
Vitvi01g00528	0.95797534257544	Turquoise	FALSE
Vitvi01g00529	0.895825666890138	All genes	FALSE
Vitvi01g00530	0.734004602065047	All genes	FALSE
Vitvi01g00532	0.00180767289328962	All genes	TRUE
Vitvi01g00533	0.453422569544783	All genes	FALSE
Vitvi01g00536	0.638640881235367	All genes	FALSE
Vitvi01g00537	0.91254535872175	All genes	FALSE
Vitvi01g00538	0	All genes	TRUE
Vitvi01g00539	0.872203088933877	Turquoise	TRUE
Vitvi01g00540	0.81198434352257	All genes	FALSE
Vitvi01g00542	0.630365061101922	All genes	FALSE
Vitvi01g00543	0.663977226884231	All genes	FALSE
Vitvi01g00544	0.0172718282050135	All genes	FALSE
Vitvi01g00547	0.45946352796657	All genes	TRUE
Vitvi01g00552	0.781705664364348	All genes	FALSE
Vitvi01g00553	0.872260952781156	Turquoise	FALSE
Vitvi01g00554	0.488940788568075	Turquoise	TRUE
Vitvi01g00556	0.958704862953149	Blue	FALSE
Vitvi01g00561	0.795055302504031	All genes	FALSE
Vitvi01g00562	0.947473270886856	All genes	FALSE
Vitvi01g00563	0.825057613106634	All genes	FALSE
Vitvi01g00567	0.605821604159483	Turquoise	TRUE
Vitvi01g00568	0.463132679013327	Turquoise	FALSE
Vitvi01g00571	0.809699314218829	All genes	FALSE
Vitvi01g00572	0.033922824989625	All genes	FALSE
Vitvi01g00576	0.861306979757589	All genes	FALSE
Vitvi01g00577	0	All genes	FALSE
Vitvi01g00578	0.947014538421499	All genes	FALSE
